6784	11
6784.5	13
6785	14
6785.5	15
6786	16
6786.5	18
6787	19
6787.5	21
6788	23
6788.5	24
6789	26
6789.5	28
6790	30
6790.5	32
6791	34
6791.5	36
6792	39
6792.5	41
6793	44
6793.5	46
6794	49
6794.5	52
6795	55
6795.5	58
6796	61
6796.5	64
6797	68
6797.5	71
6798	75
6798.5	78
6799	82
6799.5	86
6800	90
6800.5	94
6801	98
6801.5	103
6802	107
6802.5	112
6803	116
6803.5	121
6804	126
6804.5	131
6805	136
6805.5	142
6806	147
6806.5	153
6807	158
6807.5	164
6808	170
6808.5	176
